iter	Passed	Remaining
228	66326	223308
229	66684	223249
230	67087	223336
231	67511	223484
232	67812	223227
233	68157	223113
234	68555	223170
235	68956	223232
236	69389	223391
237	69760	223350
238	70138	223326
239	70506	223269
240	70568	222246
241	70642	221269
242	70739	220368
243	71070	220203
244	71388	219994
245	71770	219979
246	72154	219969
247	72543	219969
248	72940	219993
249	73292	219878
250	73374	218952
251	73760	218938
252	73848	218042
253	74204	217938
254	74323	217140
255	74710	217126
256	75141	217238
257	75336	216665
258	75751	216726
259	76145	216722
260	76203	215764
261	76637	215870
262	77045	215902
263	77124	215013
264	77418	214725
265	77805	214696
266	78212	214717
267	78613	214719
268	79033	214770
269	79415	214715
270	79466	213766
271	79851	213720
272	80263	213743
273	80723	213889
274	81116	213853
275	81189	212976
276	81581	212936
277	81967	212879
278	82325	212748
279	82714	212694
280	83121	212685
281	83564	212764
282	83938	212663
283	84058	211922
284	84416	211782
285	84750	211579
286	85100	211417
287	85470	211303
288	85825	211148
289	85950	210430
290	86309	210286
291	86687	210186
292	87050	210050
293	87341	209739
294	87730	209659
295	88101	209539
296	88465	209397
297	88726	209013
298	89059	208799
299	89374	208540
300	89593	208059
301	89936	207866
302	90267	207644
303	90615	207462
304	90676	206623
305	91024	206441
306	91355	206219
307	91691	206008
308	92027	205796
309	92371	205601
310	92731	205440
311	93043	205172
312	93337	204865
313	93704	204716
314	93759	203889
315	94117	203723
316	94463	203528
317	94610	202906
318	94913	202620
319	95299	202512
320	95630	202284
321	95912	201951
322	96222	201680
323	96577	201501
324	96876	201205
325	97211	200982
326	97586	200843
327	97859	200493
328	98227	200335
329	98545	200076
330	98944	199981
331	99344	199886
332	99799	199898
333	100198	199797
334	100623	199745
335	101096	199786
336	101490	199668
337	101893	199567
338	102342	199552
339	102768	199491
340	103193	199427
341	103634	199390
342	104082	199365
343	104506	199290
344	104937	199229
345	105369	199167
346	105746	198998
347	106205	198983
348	106660	198957
349	107084	198871
350	107492	198754
351	107933	198696
352	108383	198652
353	108787	198521
354	109246	198489
355	109691	198430
356	110102	198308
357	110553	198255
358	110968	198135
359	111417	198074
360	111877	198033
361	112327	197968
362	112772	197895
363	113220	197824
364	113663	197743
365	114098	197645
366	114509	197504
367	114916	197357
368	115359	197267
369	115815	197198
370	116249	197091
371	116741	197078
372	117217	197038
373	117637	196900
374	118044	196741
375	118468	196607
376	118897	196480
377	119350	196391
378	119733	196185
379	120176	196077
380	120616	195961
381	121040	195818
382	121435	195628
383	121880	195517
384	122315	195387
385	122709	195191
386	123153	195072
387	123611	194974
388	124072	194879
389	124561	194827
390	125003	194698
391	125482	194625
392	125943	194522
393	126391	194398
394	126785	194190
395	127235	194066
396	127673	193922
397	128071	193715
398	128485	193532
399	128933	193400
400	129357	193229
401	129820	193115
402	130223	192911
403	130643	192732
404	131085	192581
405	131485	192370
406	131963	192271
407	132361	192054
408	132759	191836
409	133189	191663
410	133657	191542
411	134109	191398
412	134547	191233
413	134978	191056
414	135405	190872
415	135828	190681
416	136242	190477
417	136682	190308
418	137089	190092
419	137562	189967
420	137982	189766
421	138419	189588
422	138491	188911
423	138908	188705
424	139358	188544
425	139786	188350
426	140215	188157
427	140672	188001
428	141077	187774
429	141487	187553
430	141910	187348
431	142291	187087
432	142711	186876
433	143130	186662
434	143527	186421
435	143923	186176
436	144327	185941
437	144782	185771
438	145249	185614
439	145714	185454
440	146170	185282
441	146584	185054
442	147004	184834
443	147441	184634
444	147887	184444
445	148294	184204
446	148753	184028
447	149229	183872
448	149627	183618
449	150027	183366
450	150436	183125
451	150888	182935
452	151332	182734
453	151769	182525
454	152141	182235
455	152586	182033
456	153016	181812
457	153476	181624
458	153863	181350
459	154272	181102
460	154686	180858
461	155118	180635
462	155526	180384
463	155938	180135
464	156364	179903
465	156798	179679
466	157190	179405
467	157608	179161
468	158035	178927
469	158521	178758
470	159008	178589
471	159489	178412
472	159964	178226
473	160355	177947
474	160775	177699
475	161159	177410
476	161562	177142
477	161977	176887
478	162407	176648
479	162819	176387
480	163225	176120
481	163657	175880
482	164072	175622
483	164445	175318
484	164871	175070
485	165268	174790
486	165684	174530
487	166063	174231
488	166502	173993
489	166935	173748
490	167312	173446
491	167733	173188
492	168150	172925
493	168560	172655
494	168990	172404
495	169452	172185
496	169837	171887
497	170259	171627
498	170668	171352
499	171070	171070
500	171488	170803
501	171917	170547
502	172337	170281
503	172742	170000
504	173213	169783
505	173636	169518
506	174040	169235
507	174481	168986
508	174882	168698
509	175327	168451
510	175754	168187
511	176202	167942
512	176614	167663
513	177006	167364
514	177408	167074
515	177836	166808
516	178238	166516
517	178638	166223
518	179068	165957
519	179462	165657
520	179889	165387
521	180305	165106
522	180807	164904
523	181244	164642
524	181667	164366
525	182101	164098
526	182510	163808
527	182930	163529
528	183345	163243
529	183799	162992
530	184232	162721
531	184665	162450
532	185066	162150
533	185521	161897
534	185952	161622
535	186396	161358
536	186845	161097
537	187269	160814
538	187763	160592
539	188151	160277
540	188585	160001
541	188979	159691
542	189412	159413
543	189804	159100
544	190216	158804
545	190653	158529
546	191078	158242
547	191568	158009
548	192035	157755
549	192479	157483
550	192914	157202
551	193372	156940
552	193868	156707
553	194274	156401
554	194702	156112
555	195128	155821
556	195569	155542
557	196013	155264
558	196400	154941
559	196750	154589
560	197145	154272
561	197546	153959
562	197963	153659
563	198376	153354
564	198803	153061
565	199235	152770
566	199688	152495
567	200126	152208
568	200546	151908
569	200982	151618
570	201414	151325
571	201791	150990
572	202247	150715
573	202712	150444
574	203137	150145
575	203535	149824
576	204028	149573
577	204499	149305
578	204972	149038
579	205414	148748
580	205860	148460
581	206309	148174
582	206775	147899
583	207248	147628
584	207683	147331
585	208161	147063
586	208629	146786
587	209065	146488
588	209520	146201
589	209940	145890
590	210384	145595
591	210819	145294
592	211306	145028
593	211708	144703
594	212147	144402
595	212608	144117
596	213087	143842
597	213536	143548
598	214026	143279
599	214483	142988
600	214954	142707
601	215418	142419
602	215855	142113
603	216338	141838
604	216763	141522
605	217145	141180
606	217616	140895
607	218060	140591
608	218452	140254
609	218906	139956
610	219356	139655
611	219784	139340
612	220222	139031
613	220626	138700
614	221080	138399
615	221524	138093
616	221943	137770
617	222347	137438
618	222764	137113
619	223202	136801
620	223667	136505
621	224067	136169
622	224430	135810
623	224825	135471
624	225214	135128
625	225683	134833
626	226169	134547
627	226635	134248
628	227120	133961
629	227574	133654
630	228060	133366
631	228485	133042
632	228896	132709
633	229332	132390
634	229750	132061
635	230176	131736
636	230602	131410
637	231024	131083
638	231465	130765
639	231893	130439
640	232288	130095
641	232742	129784
642	233153	129448
643	233604	129135
644	234022	128802
645	234507	128507
646	235031	128232
647	235538	127946
648	235997	127635
649	236468	127329
650	236892	126997
651	237357	126687
652	237821	126376
653	238299	126072
654	238674	125714
655	239259	125465
656	239796	125190
657	240203	124847
658	240711	124556
659	241127	124217
660	241537	123874
661	242013	123565
662	242479	123251
663	242888	122907
664	243278	122553
665	243727	122229
666	244202	121918
667	244680	121607
668	245109	121272
669	245533	120934
670	246030	120631
671	246472	120302
672	246911	119970
673	247291	119610
674	247759	119291
675	248253	118985
676	248634	118624
677	249038	118275
678	249489	117947
679	249947	117622
680	250390	117290
681	250867	116973
682	251302	116636
683	251750	116305
684	252194	115972
685	252613	115627
686	252946	115243
687	253371	114901
688	253794	114557
689	254170	114192
690	254558	113832
691	255032	113511
692	255487	113181
693	255974	112864
694	256345	112496
695	256790	112161
696	257259	111835
697	257735	111513
698	258181	111177
699	258607	110831
700	259074	110503
701	259551	110180
702	259917	109808
703	260425	109497
704	260851	109150
705	261302	108814
706	261793	108494
707	262222	108148
708	262698	107821
709	263096	107461
710	263542	107121
711	264032	106799
712	264453	106449
713	264942	106125
714	265383	105782
715	265818	105436
716	266283	105102
717	266722	104757
718	267129	104399
719	267544	104044
720	267987	103701
721	268388	103340
722	268863	103008
723	269294	102659
724	269747	102317
725	270172	101966
726	270640	101629
727	271133	101302
728	271599	100964
729	272022	100611
730	272440	100255
731	272854	99897
732	273335	99564
733	273747	99205
734	274160	98846
735	274673	98524
736	275199	98205
737	275659	97862
738	276132	97524
739	276489	97144
740	276946	96800
741	277435	96466
742	277918	96130
743	278275	95750
744	278682	95387
745	279128	95038
746	279558	94683
747	279986	94326
748	280444	93980
749	280861	93620
750	281315	93272
751	281715	92906
752	282174	92559
753	282638	92213
754	283065	91855
755	283457	91486
756	283912	91137
757	284327	90774
758	284723	90406
759	285167	90052
760	285528	89673
761	285983	89323
762	286461	88979
763	286933	88633
764	287393	88284
765	287887	87944
766	288347	87594
767	288796	87240
768	289187	86869
769	289586	86499
770	290016	86139
771	290473	85787
772	290904	85427
773	291385	85081
774	291878	84738
775	292356	84391
776	292818	84039
777	293304	83693
778	293706	83323
779	294130	82959
780	294604	82609
781	295074	82258
782	295563	81912
783	296043	81563
784	296415	81183
785	296818	80813
786	297270	80455
787	297728	80099
788	298189	79743
789	298673	79394
790	299180	79050
791	299666	78700
792	300120	78341
793	300578	77983
794	301023	77622
795	301456	77257
796	301938	76905
797	302423	76553
798	302856	76187
799	303301	75825
800	303757	75465
801	304180	75096
802	304656	74741
803	305114	74381
804	305593	74025
805	305971	73645
806	306419	73282
807	306898	72926
808	307356	72565
809	307846	72210
810	308299	71847
811	308745	71482
812	309187	71116
813	309631	70751
814	310142	70400
815	310634	70044
816	311131	69690
817	311580	69324
818	312058	68965
819	312496	68596
820	312960	68233
821	313378	67860
822	313801	67488
823	314275	67126
824	314716	66758
825	315145	66386
826	315603	66021
827	316027	65648
828	316505	65286
829	316940	64915
830	317382	64545
831	317855	64182
832	318310	63814
833	318804	63455
834	319256	63086
835	319706	62717
836	320177	62352
837	320677	61992
838	321145	61626
839	321646	61265
840	322163	60908
841	322601	60535
842	323095	60173
843	323601	59812
844	324118	59453
845	324801	59124
846	325310	58763
847	325802	58398
848	326304	58035
849	326804	57671
850	327186	57286
851	327634	56912
852	328078	56538
853	328499	56160
854	328904	55779
855	329350	55404
856	329824	55034
857	330276	54661
858	330680	54279
859	331107	53901
860	331576	53529
861	332004	53151
862	332458	52777
863	332866	52395
864	333341	52024
865	333799	51650
866	334302	51282
867	334755	50907
868	335159	50524
869	335583	50144
870	336008	49764
871	336428	49383
872	336849	49003
873	337253	48620
874	337720	48245
875	338174	47869
876	338630	47493
877	339123	47121
878	339598	46747
879	340044	46369
880	340533	45997
881	341012	45623
882	341472	45246
883	341945	44870
884	342432	44496
885	342928	44123
886	343346	43740
887	343863	43370
888	344298	42988
889	344756	42610
890	345230	42233
891	345698	41855
892	346100	41470
893	346571	41092
894	347031	40713
895	347525	40337
896	348040	39964
897	348472	39581
898	348924	39200
899	349413	38823
900	349927	38449
901	350355	38065
902	350867	37690
903	351386	37315
904	351875	36937
905	352376	36560
906	352875	36182
907	353335	35800
908	353840	35423
909	354380	35048
910	354871	34669
911	355319	34285
912	355864	33910
913	356378	33532
914	356828	33148
915	357296	32765
916	357724	32378
917	358202	31996
918	358719	31617
919	359141	31229
920	359543	30840
921	359958	30452
922	360427	30068
923	360890	29683
924	361317	29296
925	361754	28909
926	362168	28520
927	362673	28138
928	363153	27754
929	363612	27368
930	364086	26983
931	364508	26595
932	364978	26209
933	365404	25820
934	365872	25435
935	366285	25045
936	366717	24656
937	367140	24267
938	367637	23882
939	368047	23492
940	368500	23104
941	368938	22715
942	369297	22322
943	369790	21936
944	370240	21548
945	370685	21159
946	371115	20769
947	371493	20377
948	371966	19989
949	372394	19599
950	372878	19212
951	373316	18822
952	373658	18428
953	374117	18039
954	374545	17648
955	374996	17259
956	375364	16865
957	375758	16473
958	376232	16085
959	376677	15694
960	377057	15302
961	377440	14909
962	377928	14520
963	378363	14129
964	378809	13739
965	379291	13349
966	379721	12958
967	380155	12567
968	380635	12177
969	381090	11786
970	381558	11395
971	382021	11004
972	382458	10612
973	382902	10221
974	383308	9828
975	383785	9437
976	384283	9046
977	384707	8653
978	385207	8262
979	385641	7870
980	386133	7478
981	386591	7086
982	387069	6693
983	387493	6300
984	387870	5906
985	388315	5513
986	388771	5120
987	389229	4727
988	389631	4333
989	390077	3940
990	390519	3546
991	390983	3153
992	391424	2759
993	391865	2365
994	392287	1971
995	392717	1577
996	393189	1183
997	393639	788
998	394063	394
999	394458	0
