iter	Logloss
0	0.6486703497
1	0.6102723134
2	0.5691478219
3	0.5314532339
4	0.4991448931
5	0.4788059969
6	0.4677082123
7	0.4574333332
8	0.440124564
9	0.4251267009
10	0.4109058062
11	0.4026176119
12	0.3920844094
13	0.3821749468
14	0.3762330568
15	0.3681917984
16	0.3583845034
17	0.3524048725
18	0.3460853443
19	0.3380834042
20	0.3321830711
21	0.3303098171
22	0.3271757513
23	0.3237202242
24	0.3215622186
25	0.316079995
26	0.3096988403
27	0.307489271
28	0.3057029717
29	0.3029314557
30	0.3003586285
31	0.297469721
32	0.2953395428
33	0.2932527432
34	0.2912663809
35	0.2898205649
36	0.2888013262
37	0.2859368758
38	0.2849522678
39	0.2844951512
40	0.28313034
41	0.282013923
42	0.2804962923
43	0.2783664641
44	0.2767309251
45	0.2748934107
46	0.2736364644
47	0.2714301076
48	0.2701786947
49	0.2688168283
50	0.2684657286
51	0.2670247675
52	0.2667519006
53	0.266191502
54	0.264798293
55	0.2642173053
56	0.2626354817
57	0.2617034503
58	0.2605504079
59	0.2600968845
60	0.2592932649
61	0.2588274495
62	0.2575541482
63	0.256659992
64	0.2553776501
65	0.2546404631
66	0.2541966631
67	0.2536908357
68	0.2530466181
69	0.2527434394
70	0.2522679509
71	0.2519653303
72	0.2515642912
73	0.2506485044
74	0.2500352852
75	0.2491971327
76	0.2484913836
77	0.2480651043
78	0.2479291473
79	0.2467623714
80	0.246759072
81	0.2464561044
82	0.2454203426
83	0.2452977621
84	0.2444203452
85	0.2441233775
86	0.2432228303
87	0.2421943598
88	0.242016169
89	0.2418863359
90	0.2414825285
91	0.2410374149
92	0.2407705459
93	0.240169236
94	0.2401684721
95	0.2400952796
96	0.2397787023
97	0.2395033514
98	0.2394608285
99	0.2381666168
100	0.2380047875
101	0.2376639569
102	0.2372113579
103	0.2371756523
104	0.2362892436
105	0.236288331
106	0.2360359509
107	0.2353661311
108	0.2331774719
109	0.2330894623
110	0.2329194794
111	0.2326205774
112	0.2326107717
113	0.2324570292
114	0.2322511032
115	0.2320530305
116	0.2318691079
117	0.2311121827
118	0.2305149066
119	0.2297886491
120	0.2296373902
121	0.229509866
122	0.2294061919
123	0.2290788232
124	0.2289606013
125	0.2287593063
126	0.2280722798
127	0.2279989967
128	0.2279709925
129	0.2279009121
130	0.2278015358
131	0.2276163749
132	0.2275340257
133	0.2275061899
134	0.2270405613
135	0.2269156613
136	0.226594255
137	0.2265603152
138	0.2263267857
139	0.2262266815
140	0.2259426723
141	0.22579665
142	0.2257204534
143	0.2250900243
144	0.2244474072
145	0.2243705424
146	0.2242814329
147	0.2241093
148	0.223897314
149	0.2238540467
150	0.2238265771
151	0.2237351941
152	0.2228167151
153	0.2227357622
154	0.2224047924
155	0.2222422222
156	0.2220575171
157	0.2219866274
158	0.221952513
159	0.2219260937
160	0.2218075689
161	0.2216948543
162	0.2215114117
163	0.2213380619
164	0.2212629672
165	0.2212212899
166	0.2211836846
167	0.2209042098
168	0.2208981091
169	0.2208589695
170	0.2207807045
171	0.2207553873
172	0.2203772377
173	0.2202303667
174	0.2201759251
175	0.2200255841
176	0.2199083562
177	0.219802847
178	0.2197264957
179	0.2196432611
180	0.2195409535
181	0.2194284601
182	0.2192534681
183	0.2187683098
184	0.2184826566
185	0.2182989393
186	0.2181976194
187	0.2181151483
188	0.2180539881
189	0.2180045505
190	0.2179828645
191	0.2176921952
192	0.2176482451
193	0.2175646696
194	0.2175342987
195	0.2175094478
196	0.2175084337
197	0.2172133901
198	0.2171981446
199	0.2170455338
200	0.2170197555
201	0.2169306377
202	0.216885934
203	0.2168097211
204	0.2166816217
205	0.216663871
206	0.2166469061
207	0.2165927444
208	0.2165869015
209	0.216576698
210	0.2163691469
211	0.216342556
212	0.2162379792
213	0.2161525771
214	0.2160823507
215	0.2160435177
216	0.2160407063
217	0.2159900311
218	0.2159721826
219	0.21594659
220	0.21586955
221	0.2158495163
222	0.2158363997
223	0.2158286325
224	0.2157731316
225	0.2157344142
226	0.2157320139
227	0.2157177802
228	0.2156502045
229	0.2155987483
230	0.2155920009
231	0.2155632481
232	0.2155385882
233	0.2155140134
234	0.2154581133
235	0.2154477963
236	0.2154031865
237	0.2153770299
238	0.2153505958
239	0.2153284809
240	0.2153148558
241	0.2152901619
242	0.2152864469
243	0.2152706459
244	0.2152461017
245	0.2152269858
246	0.2152077905
247	0.2151884895
248	0.2151628968
249	0.2151529364
250	0.2151264719
251	0.2150940912
252	0.2150548465
253	0.2150303849
254	0.2149957332
255	0.2149922172
256	0.2149693355
257	0.2149554591
258	0.2149394634
259	0.2149355034
260	0.2149327244
261	0.2148949576
262	0.2148861649
263	0.2148835721
264	0.2148738074
265	0.2148588049
266	0.2148324996
267	0.2148169387
268	0.2147828929
269	0.2147563632
270	0.2147518888
271	0.2147455686
272	0.2147285417
273	0.2147227376
274	0.2146776811
275	0.2146531295
276	0.2146357513
277	0.2146303406
278	0.2145812866
279	0.2145760695
280	0.2145630098
281	0.2145367261
282	0.2145296456
283	0.2145043142
284	0.2145022556
285	0.2144876291
286	0.2144806625
287	0.2144730372
288	0.2144470793
289	0.214426344
290	0.2144036419
291	0.2143876909
292	0.2143841739
293	0.214380469
294	0.2143785303
295	0.2143632535
296	0.2143393126
297	0.214334366
298	0.2143160576
299	0.214290607
300	0.2142883232
301	0.2142735984
302	0.2142690027
303	0.2142565564
304	0.2142528181
305	0.2142466829
306	0.2142264826
307	0.2142206213
308	0.21421637
309	0.214214312
310	0.214210861
311	0.2141798733
312	0.2141576104
313	0.2141528708
314	0.2141401065
315	0.2141196052
316	0.2140792275
317	0.2140671844
318	0.2140572215
319	0.2140490904
320	0.2140071737
321	0.2139956515
322	0.2139926199
323	0.2139796119
324	0.2139296076
325	0.213927363
326	0.2139079603
327	0.2138825773
328	0.2138472081
329	0.2138291336
330	0.2138271565
331	0.21380341
332	0.2137869323
333	0.2137751151
334	0.2137386404
335	0.2137364679
336	0.2137223695
337	0.2137129012
338	0.2136790887
339	0.2136772451
340	0.2136433937
341	0.213632379
342	0.2136301582
343	0.2136288087
344	0.213626464
345	0.2135848021
346	0.2135835465
347	0.213564078
348	0.2135517525
349	0.2135406636
350	0.2135251956
351	0.2135140222
352	0.2135059592
353	0.2134970311
354	0.2134880993
355	0.2134862737
356	0.2134847623
357	0.2134782264
358	0.2134620668
359	0.213432389
360	0.2134307121
361	0.2134059767
362	0.2133702231
363	0.2133632915
364	0.213357024
365	0.2133557998
366	0.2133548168
367	0.2133455738
368	0.2133361741
369	0.2133341829
370	0.2133332293
371	0.2133214203
372	0.21332037
373	0.213309058
374	0.2133081653
375	0.2133003389
376	0.2132692738
377	0.2132539725
378	0.2132528772
379	0.2132519295
380	0.2132491875
381	0.2132229607
382	0.2132210558
383	0.2132121902
384	0.2132067204
385	0.2132052272
386	0.2132042031
387	0.2131981395
388	0.2131940057
389	0.2131874551
390	0.2131785092
391	0.2131725344
392	0.2131664232
393	0.2131531264
394	0.2131432683
395	0.2131366482
396	0.2131344422
397	0.2131220442
398	0.2131027627
399	0.2130978782
400	0.2130963926
401	0.2130896687
402	0.2130876784
403	0.2130822895
404	0.2130768961
405	0.2130719717
406	0.213064836
407	0.2130624972
408	0.2130590619
409	0.213042077
410	0.2130376824
411	0.2130283834
412	0.2130232793
413	0.2130180176
414	0.213016606
415	0.2130155963
416	0.2130125978
417	0.2129943559
418	0.2129861408
419	0.2129814299
420	0.2129414696
421	0.2129371483
422	0.2129357147
423	0.2129206457
424	0.2129189696
425	0.2128339266
426	0.2128279213
427	0.212826029
428	0.212791544
429	0.2127878981
430	0.2127829447
431	0.2127730531
432	0.2127645372
433	0.2127597826
434	0.2127568018
435	0.2127538566
436	0.212750857
437	0.2127462001
438	0.2127425191
439	0.2127408506
440	0.2127383022
441	0.2127374485
442	0.2127329192
443	0.212641251
444	0.2126405501
445	0.2126325946
446	0.2126302552
447	0.212622726
448	0.2126218702
449	0.2126185003
450	0.2126142026
451	0.2126108447
452	0.2126060577
453	0.2126008869
454	0.2125984905
455	0.2125942398
456	0.2125646555
457	0.2125619535
458	0.2125597749
459	0.2125515568
460	0.212547894
461	0.2125417045
462	0.2125406049
463	0.2125368828
